2023,46,IT,quantile,0.01,1,5.29
2023,46,IT,quantile,0.025,1,5.72
2023,46,IT,quantile,0.05,1,6.16
2023,46,IT,quantile,0.1,1,6.71
2023,46,IT,quantile,0.15,1,7.15
2023,46,IT,quantile,0.2,1,7.48
2023,46,IT,quantile,0.25,1,7.72
2023,46,IT,quantile,0.3,1,8.0
2023,46,IT,quantile,0.35,1,8.22
2023,46,IT,quantile,0.4,1,8.43
2023,46,IT,quantile,0.45,1,8.62
2023,46,IT,quantile,0.5,1,8.81
2023,46,IT,quantile,0.55,1,9.0
2023,46,IT,quantile,0.6,1,9.17
2023,46,IT,quantile,0.65,1,9.36
2023,46,IT,quantile,0.7,1,9.56
2023,46,IT,quantile,0.75,1,9.77
2023,46,IT,quantile,0.8,1,9.98
2023,46,IT,quantile,0.85,1,10.24
2023,46,IT,quantile,0.9,1,10.57
2023,46,IT,quantile,0.95,1,10.95
2023,46,IT,quantile,0.975,1,11.21
2023,46,IT,quantile,0.99,1,11.44
2023,46,IT,quantile,0.01,2,4.94
2023,46,IT,quantile,0.025,2,5.37
2023,46,IT,quantile,0.05,2,5.81
2023,46,IT,quantile,0.1,2,6.41
2023,46,IT,quantile,0.15,2,6.88
2023,46,IT,quantile,0.2,2,7.33
2023,46,IT,quantile,0.25,2,7.68
2023,46,IT,quantile,0.3,2,7.96
2023,46,IT,quantile,0.35,2,8.3
2023,46,IT,quantile,0.4,2,8.59
2023,46,IT,quantile,0.45,2,8.91
2023,46,IT,quantile,0.5,2,9.2
2023,46,IT,quantile,0.55,2,9.44
2023,46,IT,quantile,0.6,2,9.71
2023,46,IT,quantile,0.65,2,10.02
2023,46,IT,quantile,0.7,2,10.31
2023,46,IT,quantile,0.75,2,10.67
2023,46,IT,quantile,0.8,2,11.05
2023,46,IT,quantile,0.85,2,11.46
2023,46,IT,quantile,0.9,2,11.94
2023,46,IT,quantile,0.95,2,12.71
2023,46,IT,quantile,0.975,2,13.13
2023,46,IT,quantile,0.99,2,13.69
2023,46,IT,quantile,0.01,3,4.01
2023,46,IT,quantile,0.025,3,4.65
2023,46,IT,quantile,0.05,3,5.07
2023,46,IT,quantile,0.1,3,5.66
2023,46,IT,quantile,0.15,3,6.17
2023,46,IT,quantile,0.2,3,6.64
2023,46,IT,quantile,0.25,3,7.06
2023,46,IT,quantile,0.3,3,7.46
2023,46,IT,quantile,0.35,3,7.78
2023,46,IT,quantile,0.4,3,8.14
2023,46,IT,quantile,0.45,3,8.56
2023,46,IT,quantile,0.5,3,8.88
2023,46,IT,quantile,0.55,3,9.29
2023,46,IT,quantile,0.6,3,9.69
2023,46,IT,quantile,0.65,3,10.04
2023,46,IT,quantile,0.7,3,10.49
2023,46,IT,quantile,0.75,3,10.86
2023,46,IT,quantile,0.8,3,11.44
2023,46,IT,quantile,0.85,3,12.0
2023,46,IT,quantile,0.9,3,12.79
2023,46,IT,quantile,0.95,3,13.8
2023,46,IT,quantile,0.975,3,14.69
2023,46,IT,quantile,0.99,3,15.45
2023,46,IT,quantile,0.01,4,2.9
2023,46,IT,quantile,0.025,4,3.62
2023,46,IT,quantile,0.05,4,4.08
2023,46,IT,quantile,0.1,4,4.68
2023,46,IT,quantile,0.15,4,5.2
2023,46,IT,quantile,0.2,4,5.6
2023,46,IT,quantile,0.25,4,6.04
2023,46,IT,quantile,0.3,4,6.42
2023,46,IT,quantile,0.35,4,6.93
2023,46,IT,quantile,0.4,4,7.32
2023,46,IT,quantile,0.45,4,7.73
2023,46,IT,quantile,0.5,4,8.11
2023,46,IT,quantile,0.55,4,8.65
2023,46,IT,quantile,0.6,4,9.05
2023,46,IT,quantile,0.65,4,9.47
2023,46,IT,quantile,0.7,4,9.92
2023,46,IT,quantile,0.75,4,10.48
2023,46,IT,quantile,0.8,4,11.16
2023,46,IT,quantile,0.85,4,11.9
2023,46,IT,quantile,0.9,4,12.81
2023,46,IT,quantile,0.95,4,14.26
2023,46,IT,quantile,0.975,4,15.32
2023,46,IT,quantile,0.99,4,16.6
