anno,settimana,incidenza,numero_casi,numero_assistiti
2013,43,0.61,7.0,11541.0
2013,44,0.23,7.0,30185.0
2013,45,0.73,20.0,27563.0
2013,46,0.73,32.0,43718.0
2013,47,1.62,94.0,58009.0
2013,48,1.92,123.0,63911.0
2013,49,2.55,139.0,54572.0
2013,50,3.15,206.0,65435.0
2013,52,2.57,197.0,76585.0
2014,01,2.21,111.0,50245.0
2014,02,4.25,264.0,62113.0
2014,04,5.05,350.0,69365.0
2014,05,6.75,484.0,71671.0
2014,06,8.01,571.0,71258.0
2014,07,7.22,514.0,71176.0
2014,08,7.66,500.0,65265.0
2014,09,5.51,389.0,70663.0
2014,10,6.07,380.0,62646.0
2014,11,4.87,320.0,65772.0
2014,12,3.35,200.0,59739.0
2014,13,2.25,124.0,55082.0
2014,14,2.33,102.0,43709.0
